"Attribute Landing Pages", "Attribute Landing Pages"
"Landing Page Manager", "Landing Page Manager"
"Add Landing Page", "Add Landing Page"
"ID", "ID"
"Categories", "Categories"
"Attributes", "Attributes"
"Save Landing Page", "Save Landing Page"
"Delete Landing Page", "Delete Landing Page"
"Save And Continue Edit", "Save And Continue Edit"
"Landing Page Information", "Landing Page Information"
"Content", "Content"
"Landing Page Content", "Landing Page Content"
"Conditions", "Conditions"
"Landing Page Conditions", "Landing Page Conditions"
"-- Allow any --", "-- Allow any --"
"Ascending", "Ascending"
"Descending", "Descending"
"Custom Design", "Custom Design"
"Landingpage Design", "Landingpage Design"
"Display Layered Navigation", "Display Layered Navigation"
"Display in Top Navigation", "Display in Top Navigation"
"Custom Layout Update", "Custom Layout Update"
"Attribute Landing Page Options", "Attribute Landing Page Options"
"Manage Attribute Landing Pages", "Manage Attribute Landing Pages"
