"Attribute Landing Pages", "Attribuut landingspagina's"
"Landing Page Manager", "Beheer Landingspagina's"
"Add Landing Page", "Landingspagina toevoegen"
"ID", "ID"
"Categories", "Categorieën"
"Attributes", "Attributen"
"Save Landing Page", "Landingspagina opslaan"
"Delete Landing Page", "Landingspagina verwijderen"
"Save And Continue Edit", "Opslaan en verder bewerken"
"Landing Page Information", "Landingspagina informatie"
"Content", "Inhoud"
"Landing Page Content", "Landingspagina inhoud"
"Conditions", "Condities"
"Landing Page Conditions", "Landingspagina condities"
"-- Allow any --", "-- Allen toestaan --"
"Ascending", "Oplopend"
"Descending", "Aflopend"
"Custom Design", "Custom Ontwerp"
"Landingpage Design", "Landingspagina ontwerp"
"Display Layered Navigation", "Toon in gelaagde navigatie"
"Display in Top Navigation", "Toon in hoofdmenu"
"Custom Layout Update", "Custom layout update"
"Attribute Landing Page Options", "Attribuut landingspagina opties"
"Manage Attribute Landing Pages", "Beheer attribuut landingspagina's"
